입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
잘 사용하고 있어요 ~ 미리 결제하는 것도 좋고 배달 위치 확인도 좋고요 너무 편하네요~,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
지구 뿌시는 맛이에요. 식감이 정말 예술이네요. 평생 장사해 주세요. 제발요.,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
불가한지역이너무많고 카톡으로배달시켰다고 배달원이 저에게큰소리로 뭐라하시는데 그건좀 그리고 왠만하면 5점드리는데 배달원님몇명때문에 가끔 스트레스받네요 연락달라해도없고 저에게 성질내면 저기분이나쁘네요 그리고 계산도 잘확인도안하고 .방안좀,배달,기타,부정,98.6%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
"아니 하루 삭제 하고 다시 로그인 할려고 하니까 카카오톡 연동 누르니 하루 전 로그인이 있는데 인증 끝나니까 본인 아니라고 자꾸 틀렸다고 하는게 말이 되나 내 폰으로 연동 해놨는데 어떻게 내가 아닐수가 있냐 시스템 관리좀,",일반,기타,애매,99.3%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
7%할인만 당첨되는 룰렛과 요기요패스 중복이 안되는 쿠폰. 이 두가지만 잘 처리하면 최고의 배달어플이 되겠네요,배달,기타,긍정,99.4%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
내 끼니를 책임지는. 배민클럽이 유용해서 좋습니다,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주문전화 하는 것 보다 편하고 좋아요.,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
게속쓰다가 방금영구삭제 햇어요 배달지연이 너무심함 요기패스 돈만받아먹고 햄버거하나 시켜먹는데 2시간다되서 배달되고 1시간내 음식을받질못합니다. 요기요절대쓰지마세요. 절대절대쓰지마세요.요기요측 반영해서 신경쓴다더니 여전히 관리전혀안됨.진짜 고소하고싶을만큼 화나요 절대쓰지마세요,"맛, 배달",패스트푸드,부정,99.4%,"맛, 배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
"양은 줄고 배달비는 수직상승함. 혜택도 점점 줄어드는데다가, 쿠폰이 지급되어도 해당 업체가 의도적으로 영업을 안하는 경우가 매우 많음. 지금으로선 이용할 이유가 없음","배달, 가격/양",기타,부정,99.3%,"배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
배민이 있어서 편리하고 빠르고 현금 없어도 되고 좋아요,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
아니 7만원 이상 주문 시 무료배달인데 그냥 무료배달이라고 뜨네요. 너무불편해요. 진짜 무료배달만 보고싶은데 빨리고쳐주세요.,배달,기타,긍정,99.3%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
"장점- 여러모로 할인이 배민보다 많음, 메뉴별 리뷰확인가능, 상품권등록시 바로 등록자에게 권리이전됨(상품권거래시 결제취소위험 X) 단점- 업주부과 수수료가 너무 높아 어지간한 리뷰이벤트는 요기요 주문시 제외되고, 등록업체수도 배민에 많이 밀림. -업주부과 수수료로 고객 할인해주는데 쓰는 듯 큰 단점이라곤 생각안 됨. 비교해서 그때그때 혜택이 더 좋은 어플 사용중",맛,기타,긍정,99.4%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배달 1시간 30분 걸리고 음식도 식어서 왔길래 별점 하나 리뷰 적었더니 그냥 지워버리네 그딴식으로 운영해라 쿠팡이츠 ㅇ,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
다 좋은데 왜 리뷰 수정하는 기능이 없는건지요. 궁금합니다. 배민은 있던데 리뷰수정할까봐 그런건가요? 오타나 잘못눌려서 수정하고싶은데 그게안되네요 ㅠ,일반,기타,애매,98.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
중구맛집으로 꼭성공하세요 넘넘~^ 맛있어요,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
"쿠폰사건부터 말이 많은데 대응도 프로답지 못하네요. 하긴 프로라고 하긴 좀 그런가요 전문직종은 아니니. 무튼 매크로 답변도 그렇고, 대응속도도 그렇고 말로만 하는 개선이 아닌 좀 보여주는 개선이 필요한 시점인것 같은데 말이죠. 아직 심각성을 모르시는건가. 바로아래 몇개 리뷰만 봐도 고객들 목소리가 어떤지 보일텐데요. 카테고리 정리가 좀 잘되어있다 정도만 칭찬할만 하네요.",일반,기타,애매,98.1%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
"배민카드까지 만들어서 썼었는데. 이젠 배민 졸업. 다회용기 떡하니 박아놓고 다회용기로 제공도 안하면서 다회용기 올리는 가게들 관리도 안됨. 요청사항으로 다회용기 한번 더 써도 그냥 배째고 보냄. 환불요청하니 자기들은 조리했으니 안된다함. 다회용기가 없으면 전화라도 해서 확인하지- 30분 실랑이함. 그와중에 고객센터는 다회용기는 리턴잇에 문의하라고 핑퐁질. 심지어 일부 메뉴는 일회용기로 나갈수있다고 옆에 클릭해야 보이는 경고문을 근거로 안된단다. 일부메뉴가 그 일부메뉴니, 그리고 그구 뜨는 창 공간도 남더만 느낌표 클릭해야 나오게 하는건 기만 아닌가. 왜 유독 배민 앱 평가가 최하인지 알 것 같다",맛,기타,부정,99.4%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
30분 동안 네트워크 불안정만 뜨는거 보고 지움 와이파이 풀인데도 안되고 혹시 몰라 데이터로 켜봐도 안됨 써봤던 배달 어플 중 가장 관리 못하는듯,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
편하게 이용할 수 있고 군더더기 없어서 좋아요. 그리고 빠릅니다👍🏻,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배달 어플 처음 써보는데 편하고 좋네요.,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
쿠폰 범용성이 너무 떨어진다 최소 주문 금액도 높고 주문 금액 대비 퍼센트도 너무 낮다 특이 이게 ㅈ 같은게 결국 할인 금액 다 적용할라면 다음 높은 최소 요구 금액 쿠폰 가격인데 지금 장난하자는거냐? 꼴랑 천원짜리 할인 드럽게 아까워 하면서 범용성 거지같이 조건 걸어서 주는거 다 느껴짐 이거 관련한 회사 임직원들서 물갈이 할 필요가 있다 일 드럽게 못함,가격/양,분식,부정,99.4%,가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
배달을 시켰는데. 음식이 하도 안와서 내가 주소지를 잘못했나 확인해더니 주문취소더라구요. 문제는 1시간 후에 확인했다는 사실 저는 배고픈데 주문취소라고 연락온건 없고. 짜증 엄청 나더라고요 다음에는 문자라도 보내줬으면 좋겠네요,"맛, 배달",기타,부정,99.2%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
정말 맛있어요! 다만 식기가 너무 더러워요 다시는 안 갈래요,맛,기타,긍정,99.4%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
평소 10분이면 오던곳 30분 넘어도 안와서 지도켜보니 치타배달이 다른집 배달하길래 상담요청했더니 2천원 쿠폰주면서 먹고떨어지라네ㅋ 여비 배달비가 2700원이고 다른어플은 무료임. 상담사 교육좀 다시시켜야 할듯. 다시는 치타배달 안시킴,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
앱 접속이 계속 안됨 다른어플은 다잘되는데 이 앱만 이럼 될때 안될때 계속 반복됨,일반,기타,애매,97.5%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주문이 주소지가 잘못 되어 상담을 했는데 아주 친절하게 처리해 주셔서 너무나 감사합니다. 우리집 쇼핑의 메카~ 구팡이츠 최고예요.👍,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
